Gene,Log2FoldChange,pvalue
ZNF252P,0.18,0.0486
SORCS3,0.51,0.0486
KIAA0232,-0.17,0.0486
CYP4X1,-0.47,0.0486
NXNL1,-0.07,0.0487
HMGCS2,-0.63,0.0487
EFR3A,0.23,0.0487
TULP2,0.21,0.0487
MTMR2,0.26,0.0487
TYROBP,0.33,0.0488
MYH16,-0.11,0.0488
TUBA4B,-0.47,0.0488
SLC25A15,-0.38,0.0488
ZNF586,0.21,0.0488
MCM6,0.25,0.0488
ADIPOR1,-0.12,0.0489
RNASE6,0.32,0.0489
CLIC4,-0.21,0.0489
CEP164,0.17,0.049
RUSF1,-0.15,0.0491
CNOT6,0.21,0.0491
AFP,1.35,0.0491
WRAP53,0.19,0.0491
HAL,-1,0.0491
MTHFR,-0.23,0.0491
SLC1A3,0.45,0.0491
HOXC4,-0.37,0.0492
WASHC3,-0.21,0.0492
RAF1,-0.14,0.0492
RNU4ATAC,-0.05,0.0492
UGT1A4,0.9,0.0492
CYP19A1,0.83,0.0492
ERAL1,0.13,0.0492
YIPF5,0.12,0.0493
ASB3,0.14,0.0493
LTBR,0.17,0.0493
SDHAP1,-0.17,0.0493
C21ORF58,-0.32,0.0494
HCCAT5,-0.06,0.0494
ANKRD40,0.11,0.0494
HES2,-0.51,0.0494
ACTL8,0.75,0.0494
SLC29A1,-0.32,0.0495
RNASE11,-0.06,0.0495
TTLL9,0.23,0.0495
TPM3,0.14,0.0495
PIGW,0.17,0.0495
SRP68,0.12,0.0495
C6ORF226,-0.21,0.0496
NDUFB10,-0.19,0.0496
PDCD7,0.11,0.0496
COL9A1,-0.46,0.0496
STIMATE,-0.21,0.0496
MDH1B,0.38,0.0497
ARF1,-0.13,0.0497
CYP1B1,-0.63,0.0497
FSIP1,-0.31,0.0497
PLBD1,0.57,0.0497
GDA,-0.76,0.0498
AQP8,-0.79,0.0498
ZNF622,0.15,0.0499
NORAD,-0.13,0.0499
KDELR1,0.16,0.0499
FAM9B,-0.53,0.0499
TMSB10,0.36,0.05
IL20RB,-0.44,0.05
SHROOM4,-0.29,0.05
NQO2,-0.29,0.05
