Gene	Log2FoldChange	pvalue
PSAP	0.11	0.105
MFSD14A	0.15	0.105
STKLD1	-0.21	0.105
MYL9	-0.3	0.105
IL3RA	-0.21	0.105
PSMG3-AS1	-0.26	0.105
RCC1	0.22	0.105
SH3GL3	-0.42	0.105
COPS9	0.17	0.105
RNF112	-0.36	0.105
DDAH1	-0.23	0.105
ODAD2	0.42	0.105
PABIR3	-0.17	0.105
POU2AF1	0.54	0.105
GCNT7	-0.09	0.105
PMS2P5	-0.19	0.105
NDST3	0.31	0.105
CCNH	0.12	0.105
B2M	-0.2	0.106
EEF1AKNMT	0.11	0.106
ZNF574	0.1	0.106
CD81	-0.25	0.106
WDR97	0.29	0.106
CFAP300	0.26	0.106
KRTAP3-1	0.19	0.106
ITIH2	-0.36	0.106
TNIP3	0.35	0.106
FOXP1	0.14	0.106
HSD3B7	-0.24	0.106
ATP2A2	-0.14	0.106
LYZL6	-0.06	0.106
SMPD4	0.11	0.106
OR2H1	0.28	0.106
MICA	-0.2	0.106
TAL2	0.31	0.106
SLC16A9	0.73	0.106
DNAJC10	0.16	0.106
LAMB3	-0.39	0.106
PPP1R17	0.12	0.106
RAD18	0.15	0.106
AQP7P3	0.48	0.107
ST6GAL2	-0.56	0.107
IDH3G	-0.14	0.107
LKAAEAR1	-0.18	0.107
NRG4	-0.42	0.107
KHK	-0.36	0.107
DCAF1	0.1	0.107
CFHR3	-0.64	0.107
NTRK2	-0.6	0.107
EPPIN	-0.05	0.107
UBE3B	-0.09	0.107
EIF1AY	0.9	0.107
HCST	0.28	0.107
CHRFAM7A	-0.35	0.107
PHYKPL	-0.16	0.107
OXR1	0.19	0.107
COL6A4P1	0.22	0.107
FBXW9	0.17	0.107
FHOD1	-0.23	0.107
PHAX	0.11	0.107
ARSK	0.18	0.107
NFKBIA	-0.17	0.107
AHI1	-0.24	0.107
AQP2	-0.07	0.107
PRSS53	-0.28	0.107
IL1B	0.39	0.107
CRHR1	-0.14	0.107
SLC39A10	0.23	0.107
FCF1	0.1	0.107
PRR13	0.12	0.108
TCTN1	0.17	0.108
CCDC170	-0.44	0.108
C3ORF36	-0.31	0.108
NUDT9	-0.16	0.108
IGDCC3	0.62	0.108
C9ORF153	0.19	0.108
ITGA5	-0.2	0.108
TOMM70	0.08	0.108
VCPIP1	0.14	0.108
FAM104A	0.1	0.108
FOXG1	0.41	0.108
CAPN13	-0.52	0.108
DNAJC28	-0.17	0.108
SDHD	-0.13	0.108
RAC1	0.1	0.108
VSIG1	0.69	0.108
C18ORF54	0.28	0.108
IL31	-0.12	0.108
P2RY10	0.41	0.108
USP44	-0.25	0.108
MYO1D	-0.33	0.108
TRIM6-TRIM34	0.18	0.108
ABCD4	0.13	0.108
TMEM170B	-0.25	0.108
DGAT1	0.18	0.108
CRLF1	-0.6	0.108
DOLPP1	-0.12	0.108
COX14	-0.14	0.108
PI4K2B	-0.19	0.108
APLNR	-0.36	0.109
MCHR1	0.55	0.109
LGALS9C	-0.37	0.109
PDRG1	0.15	0.109
ITIH6	0.21	0.109
KALRN	-0.24	0.109
BMP1	0.18	0.109
CLEC3B	-0.34	0.109
KRTAP2-1	0.06	0.109
ZNF674-AS1	0.19	0.109
PLEKHH2	-0.45	0.109
SRP14P1	0.16	0.109
SCARNA7	-0.25	0.109
PDCD10	0.11	0.109
TIAM1	-0.31	0.109
CCL28	-0.4	0.109
B3GLCT	-0.14	0.109
AFG1L	-0.18	0.109
CCDC152	-0.29	0.109
SLC30A9	-0.12	0.109
ELOB	-0.17	0.109
MARCHF1	0.31	0.109
COL1A1	-0.48	0.109
GBAP1	-0.21	0.109
EXPH5	-0.57	0.109
HMGCL	-0.22	0.109
MAMDC2	-0.36	0.109
UNC50	0.09	0.109
LHCGR	-0.04	0.11
TMEM147	0.18	0.11
TMEM132D	0.42	0.11
MEAF6	0.14	0.11
MSTN	-0.25	0.11
TRPS1	0.34	0.11
DNAJB6	0.11	0.11
MYO5B	-0.21	0.11
HAUS1	0.17	0.11
PRPF38B	0.14	0.11
PCDHGA12	-0.44	0.11
AQP6	0.53	0.11
SPAG11B	0.11	0.11
SULF2	-0.34	0.11
SEPTIN9	0.12	0.11
FNTA	0.16	0.11
TMEM214	-0.08	0.11
EPB41L4A-DT	-0.28	0.11
CNTN5	-0.21	0.11
CCND3	-0.16	0.11
CHCHD4	0.1	0.11
KIF21B	-0.36	0.11
TMEM119	-0.41	0.11
GPR50	-0.12	0.11
DPPA4	-0.27	0.11
RRBP1	-0.15	0.11
UGT1A9	0.5	0.11
TASL	0.29	0.11
ETFA	-0.17	0.11
CATSPERE	0.25	0.11
PKD2L1	0.39	0.111
MYG1	0.1	0.111
CUX2	-0.59	0.111
FCMR	0.34	0.111
FAM219A	-0.13	0.111
ATL3	-0.18	0.111
CDH13	-0.22	0.111
FAM238B	-0.2	0.111
RAG2	-0.05	0.111
ZNF777	0.11	0.111
N4BP2L1	-0.24	0.111
ZIM2	0.33	0.111
BCL7C	-0.17	0.111
CTU2	0.14	0.112
RALGAPA2	-0.34	0.112
SLC22A18	-0.43	0.112
FOXM1	0.36	0.112
RNASEH2B	0.13	0.112
PCGEM1	0.1	0.112
QDPR	-0.21	0.112
SESTD1	0.16	0.112
CRYM-AS1	0.17	0.112
RAB1B	-0.08	0.112
EFCC1	-0.23	0.112
LINC02210	0.32	0.112
KDM4C	-0.12	0.112
TRIM61	-0.2	0.112
ZNF721	-0.13	0.112
LRRC73	-0.38	0.112
ADTRP	-0.51	0.112
CA7	-0.13	0.112
TGFBR2	0.19	0.112
PRICKLE1	-0.47	0.112
UBE2Q2P2	-0.3	0.112
ADAM32	0.35	0.112
EMC4	-0.1	0.113
SLAMF7	0.44	0.113
IDH1	-0.17	0.113
NFKBIE	0.22	0.113
ACSM5	-0.6	0.113
ZNF846	-0.2	0.113
DERL1	0.13	0.113
YIF1A	0.13	0.113
ZNF569	0.23	0.113
ANKRD50	-0.21	0.113
TNFRSF25	-0.29	0.113
NCBP2AS2	0.15	0.113
ATRIP	0.11	0.113
ASTN1	-0.34	0.113
MRFAP1L1	-0.1	0.113
GABPB1-AS1	-0.22	0.113
ALK	-0.16	0.113
ZNF668	-0.14	0.113
KRI1	0.11	0.113
CCDC57	-0.2	0.113
SPG21	-0.09	0.113
CRTAC1	-0.42	0.113
CTXN3	-0.03	0.113
PCDHA13	-0.48	0.114
TTC31	-0.12	0.114
ZFAND6	-0.09	0.114
TAF5	0.13	0.114
SRBD1	-0.12	0.114
MYL6B	0.21	0.114
NPW	0.59	0.114
C8A	-0.45	0.114
NOC2L	0.15	0.114
ALAD	-0.23	0.114
FBXW5	-0.13	0.114
H2BW1	-0.12	0.114
PYROXD2	-0.59	0.114
CCDC125	0.12	0.114
TIE1	-0.23	0.114
FAM223B	0.3	0.114
STXBP6	0.25	0.115
GNA14	-0.36	0.115
TANC2	-0.36	0.115
CDCA7	0.64	0.115
CRYZ	0.19	0.115
SNRPA1	0.16	0.115
C5ORF52	0.06	0.115
PLA2G2D	0.6	0.115
AIM2	0.43	0.115
GATA6	-0.31	0.115
KRTAP5-8	-0.16	0.115
ALDH5A1	-0.26	0.115
PELO	0.16	0.115
TCF15	-0.25	0.115
KLK2	-0.38	0.115
SUMF2	-0.15	0.115
LILRB4	0.37	0.115
GGCT	0.12	0.115
RTP2	-0.07	0.115
EBF4	-0.43	0.115
PAK1	0.15	0.115
METTL3	0.11	0.115
KRTAP6-3	0.09	0.115
BLID	-0.06	0.115
CGN	-0.31	0.116
ICAM1	0.29	0.116
U2AF1	0.14	0.116
SNORA67	0.16	0.116
SH2D3C	-0.17	0.116
ZCCHC9	0.15	0.116
PROSER2	0.2	0.116
DNAAF11	0.39	0.116
AP4B1	0.13	0.116
CCDC12	0.13	0.116
CFAP36	0.15	0.116
MMP1	0.52	0.116
PIGB	-0.12	0.116
CRYGN	-0.09	0.116
EAF1	0.13	0.116
CWF19L1	0.11	0.116
GCA	0.25	0.116
TMEM121	-0.35	0.116
AHSP	-0.16	0.116
ZC3HAV1	0.12	0.116
MFSD14C	0.19	0.116
EPM2AIP1	-0.16	0.116
RNF212	-0.3	0.116
C19ORF25	-0.18	0.116
CDH1	-0.38	0.116
CSGALNACT1	0.29	0.116
C1QTNF8	-0.12	0.117
POLE	-0.13	0.117
TYW1	0.1	0.117
CALB1	-0.25	0.117
AKR1A1	-0.18	0.117
GPRASP2	-0.22	0.117
SEC23B	0.11	0.117
INHBB	-0.32	0.117
SSTR3	0.28	0.117
CLEC7A	0.34	0.117
TEAD4	0.35	0.117
POLE4	0.17	0.117
CDH2	0.22	0.117
IL12RB1	0.33	0.117
MAPK8IP1P2	-0.28	0.117
RNF39	-0.35	0.117
RETSAT	-0.24	0.117
ARF3	-0.11	0.117
CAMK1G	-0.29	0.117
GAB4	-0.14	0.117
RBAK	-0.13	0.117
UGT2B7	-0.5	0.117
PPP2R5A	-0.16	0.118
HNRNPH3	0.1	0.118
STX11	0.31	0.118
ABHD12	-0.13	0.118
ACTB	0.11	0.118
FZD1	-0.33	0.118
MTRF1L	0.12	0.118
ASCL3	0.07	0.118
RMND5B	-0.11	0.118
TAL1	-0.24	0.118
HS3ST3A1	0.32	0.118
MAD2L2	-0.19	0.118
ZNF235	0.16	0.118
CFH	-0.29	0.118
SYTL4	-0.32	0.118
MED20	0.13	0.119
LY86	0.26	0.119
HOXB9	-0.35	0.119
MGARP	-0.22	0.119
PTGER3	-0.36	0.119
CHMP3	0.12	0.119
UBXN1	0.12	0.119
EIF3IP1	0.15	0.119
KDM1A	0.15	0.119
SPCS3	-0.13	0.119
INSL5	-0.04	0.119
C2CD4D-AS1	-0.31	0.119
DIRAS1	-0.49	0.119
SLC35A2	0.11	0.119
EDNRB	-0.31	0.119
GAPDHS	0.18	0.119
CENPH	0.26	0.119
LIPJ	-0.13	0.119
RDH10	-0.2	0.119
VEZT	-0.15	0.119
FERMT3	0.25	0.119
GDAP1	0.31	0.12
SNAPIN	-0.11	0.12
HOXC13	-0.27	0.12
CRYBA1	-0.07	0.12
RUNX3	0.3	0.12
HS6ST1	-0.19	0.12
HRG	-0.77	0.12
GARS1	0.13	0.12
KLHDC1	-0.23	0.12
STK33	0.51	0.12
GATA5	-0.54	0.12
LINC02870	0.4	0.12
CCNY	-0.1	0.12
CAPRIN1	0.1	0.12
H2AX	0.22	0.12
RIPPLY1	0.44	0.12
GNG7	-0.29	0.12
CAVIN2	0.35	0.12
ZNF473	0.15	0.12
CRYGS	-0.25	0.12
ADAM23	0.63	0.12
RASGRP4	0.22	0.12
ENOPH1	0.11	0.12
COL19A1	-0.17	0.12
BPY2	-0.22	0.12
TDRD5	0.46	0.12
DNM3	-0.23	0.12
PIPSL	0.15	0.12
NCS1	0.33	0.12
FOXP3	-0.4	0.12
SPTAN1	0.09	0.121
SEPTIN7P2	-0.19	0.121
MEX3C	0.16	0.121
CAGE1	0.23	0.121
RASSF7	-0.19	0.121
MAS1L	-0.1	0.121
KCNIP3	-0.54	0.121
UQCRC2	-0.13	0.121
PTPRC	0.35	0.121
C11ORF42	-0.12	0.121
UNK	0.12	0.121
ATXN2	0.1	0.121
SPDYC	-0.43	0.121
ZNF175	-0.28	0.121
CLLU1	-0.2	0.121
NR1I2	-0.61	0.121
ATP6V1G1	0.13	0.121
DACT3	-0.37	0.121
MOK	0.21	0.121
U2SURP	0.13	0.121
CCDC91	-0.11	0.121
GPR75	-0.35	0.121
ARRDC3-AS1	-0.2	0.121
WDR86	-0.28	0.121
TBL2	0.1	0.122
EPHX1	-0.37	0.122
SELP	-0.48	0.122
KHDRBS2	0.22	0.122
MASP1	-0.36	0.122
PAIP2B	-0.48	0.122
ADAMTSL1	-0.36	0.122
GALR2	0.28	0.122
BCL11B	0.33	0.122
TMEM192	-0.18	0.122
CRTC3	-0.15	0.122
CPPED1	-0.19	0.122
NUDT16L1	-0.13	0.122
FPR1	0.39	0.122
IL13	-0.22	0.122
NGLY1	0.09	0.122
HS3ST5	0.3	0.122
WFDC5	-0.08	0.122
PMAIP1	0.42	0.122
NREP	0.32	0.122
TOX4	-0.06	0.122
CLDN20	-0.12	0.123
LRRC46	-0.24	0.123
SPDYE6	-0.17	0.123
SLCO4A1	0.52	0.123
HCN1	0.45	0.123
PPCS	-0.1	0.123
FTSJ1	0.1	0.123
STX12	-0.12	0.123
ANGEL2	-0.13	0.123
PAQR3	-0.21	0.123
ERMARD	-0.21	0.123
APOC2	-0.44	0.123
WEE2-AS1	-0.24	0.123
B3GNT6	-0.08	0.123
CASP8	0.14	0.123
E2F7	-0.33	0.123
B3GNT2	-0.17	0.123
FLRT2	-0.52	0.123
ZNF609	-0.13	0.123
DTWD2	-0.16	0.123
TEP1	-0.16	0.123
TOP3A	-0.11	0.123
MIR17HG	0.29	0.123
HPN	-0.27	0.123
CIT	0.25	0.123
ZNF618	-0.19	0.124
LYPD1	0.56	0.124
AMT	0.23	0.124
PARD6G	0.18	0.124
CDH20	-0.13	0.124
UQCR10	-0.14	0.124
CRCT1	0.26	0.124
LRRCC1	0.28	0.124
KCNQ2	-0.15	0.124
PAICS	0.12	0.124
PSME3IP1	-0.11	0.124
CIB4	-0.03	0.124
CIP2A	0.34	0.124
DOCK7	0.16	0.124
TIMD4	0.47	0.124
PLEKHM3	0.16	0.124
TUBA1B	0.16	0.124
ZCCHC10	0.1	0.124
SLC35F4	-0.08	0.124
SLC1A2	0.61	0.124
NOL3	-0.3	0.124
METTL7A	-0.27	0.124
TMEM249	0.3	0.124
RGS18	0.33	0.124
FAM214B	-0.13	0.125
VAX1	-0.14	0.125
KISS1	-0.34	0.125
ITGB4	-0.36	0.125
PYGO1	-0.16	0.125
PRKCQ	0.34	0.125
SLC25A2	-0.13	0.125
TXNDC15	-0.09	0.125
RABL2B	0.13	0.125
PDAP1	0.1	0.125
PRDM16	-0.49	0.125
VIPR1	-0.47	0.125
ZNF546	-0.12	0.125
IGFBP7	-0.23	0.125
LYST	-0.18	0.125
SF3B4	0.13	0.125
GGCX	-0.15	0.125
CNFN	-0.42	0.125
MTMR9LP	-0.22	0.125
S1PR3	-0.34	0.125
FGF19	-0.7	0.125
FADS3	-0.21	0.125
DENR	0.1	0.125
CCL25	-0.66	0.125
SLC15A4	0.13	0.125
CHAC2	0.15	0.125
SNORA7B	-0.23	0.126
CFAP44	-0.25	0.126
FAM189B	0.17	0.126
POU1F1	-0.07	0.126
ACVR1	0.15	0.126
INO80C	0.15	0.126
EPB41L4B	0.27	0.126
DMP1	-0.14	0.126
IFTAP	0.16	0.126
C1ORF141	-0.05	0.126
UBP1	0.12	0.126
ARFIP1	-0.11	0.126
TNFRSF1B	-0.23	0.126
C19ORF71	-0.22	0.126
TMOD4	0.16	0.126
SETD6	0.1	0.126
CREB1	0.1	0.126
MFN1	0.12	0.126
GOLGA6D	-0.2	0.126
CEP170B	-0.16	0.126
TMEM255A	0.39	0.126
ATAD3B	0.24	0.126
DUOX1	-0.35	0.126
ITPRID1	-0.05	0.126
PLEKHA8P1	0.15	0.127
UBE2H	0.15	0.127
PPP2R1B	-0.22	0.127
PHF12	-0.1	0.127
CKB	-0.52	0.127
TIMM8A	0.18	0.127
CDK5R1	0.23	0.127
ANKRD1	0.59	0.127
ZBTB22	-0.12	0.127
VPS13C	-0.16	0.127
HHIPL2	0.67	0.127
HLA-DMB	0.28	0.127
SMTN	0.17	0.127
HLA-DQB2	0.42	0.127
IGFBPL1	-0.38	0.127
NIPAL3	-0.16	0.127
PRDX2	-0.14	0.127
CRISPLD2	-0.39	0.127
GPR85	0.29	0.127
VGLL4	-0.17	0.127
PRAMEF2	-0.28	0.127
DHX58	-0.22	0.127
ANAPC7	0.11	0.127
CEP104	-0.13	0.127
MTG1	0.16	0.127
TLE4	-0.26	0.128
GPR149	-0.03	0.128
CDH3	-0.33	0.128
TCF19	-0.23	0.128
CT45A2	0.24	0.128
HPS5	-0.18	0.128
TRIM4	0.12	0.128
NDC1	0.18	0.128
LINC02591	0.27	0.128
CCZ1	0.12	0.128
SMC6	-0.13	0.128
DDX3Y	0.89	0.128
PLEKHA4	0.31	0.128
SPDEF	-0.42	0.128
AR	-0.56	0.128
COPS2	0.08	0.128
NEB	-0.53	0.128
PTPRK	-0.15	0.128
SLITRK4	-0.32	0.128
PIK3C2A	-0.15	0.128
SH3PXD2A	-0.18	0.128
KDM1B	0.16	0.128
BORCS6	-0.15	0.128
CXCL8	0.61	0.128
DYDC1	-0.24	0.128
L3HYPDH	0.19	0.128
GPR142	0.12	0.128
CABP5	-0.04	0.128
TNFRSF10D	0.27	0.128
BCAT1	0.33	0.128
MICU2	-0.12	0.129
VAMP4	-0.14	0.129
CRACR2A	0.36	0.129
RABAC1	-0.2	0.129
OXSM	0.09	0.129
SUSD5	-0.4	0.129
TEX261	0.09	0.129
C3ORF20	0.15	0.129
XK	0.47	0.129
TMEM233	-0.25	0.129
PERM1	-0.38	0.129
CMA1	-0.27	0.129
AQP7P1	0.52	0.129
LMX1B	-0.4	0.129
SKI	-0.14	0.129
NXN	-0.4	0.129
ELK1	-0.1	0.129
LINC00691	0.14	0.129
PLEKHM2	-0.11	0.129
STX5	-0.09	0.129
NKX2-8	0.22	0.129
ITGA1	-0.19	0.129
RRP7BP	0.2	0.129
FTO	-0.12	0.129
PDCD5	0.14	0.129
DAAM2	-0.31	0.129
PPP2R2D	-0.1	0.129
UNC5C	-0.31	0.13
UGT2B11	-0.56	0.13
ADAM30	-0.07	0.13
SOX17	-0.22	0.13
MT1IP	-0.05	0.13
CPZ	-0.63	0.13
CD300E	0.22	0.13
WRNIP1	0.11	0.13
DAZ1	0.43	0.13
MSRB2	-0.15	0.13
SCFD1	-0.08	0.13
PSEN1	-0.08	0.13
ODF3L1	0.37	0.13
KLC4	-0.2	0.13
PRPSAP2	-0.12	0.13
FCGR3A	0.32	0.13
ZNF276	-0.13	0.13
TAS2R38	-0.06	0.13
ABLIM1	0.14	0.13
PLEKHH1	0.27	0.13
INVS	0.12	0.13
FAM225A	0.29	0.13
SYMPK	0.13	0.131
DAPK2	-0.31	0.131
TUSC2	0.12	0.131
RIC8B	-0.16	0.131
TICAM1	-0.17	0.131
MAP3K6	-0.23	0.131
PSD3	-0.26	0.131
MAP6D1	-0.16	0.131
CD55	0.32	0.131
PLCL1	-0.25	0.131
CD1B	0.32	0.131
PDHA1	-0.09	0.131
GPR27	-0.22	0.131
KDM3B	0.13	0.131
DROSHA	0.11	0.131
SPSB4	0.3	0.131
RFX8	-0.22	0.131
HS3ST3B1	0.42	0.131
AFF2	-0.44	0.131
NKX2-4	-0.06	0.131
FPR3	0.3	0.131
COL12A1	-0.39	0.131
PDSS2	-0.12	0.131
CR2	0.41	0.131
PIGS	0.16	0.131
APEX2	0.09	0.131
SEZ6	-0.65	0.131
FBLN5	-0.42	0.131
GREM2	-0.69	0.131
BDH1	-0.39	0.131
AQP7	0.3	0.131
SLC3A1	-0.58	0.132
LMF2	-0.11	0.132
CBX6	0.36	0.132
HARS2	0.12	0.132
DBF4B	0.2	0.132
S100PBP	-0.14	0.132
NDUFS5	-0.16	0.132
ADCY4	-0.22	0.132
RORA	-0.25	0.132
MCM10	0.36	0.132
HTRA3	-0.49	0.132
STIM1	-0.12	0.132
RHBDF1	0.16	0.132
ARL1	-0.08	0.132
API5	-0.08	0.132
FCSK	-0.13	0.132
SCN7A	-0.39	0.132
CLEC6A	0.18	0.132
ZNF83	-0.39	0.132
NUP188	0.14	0.132
PRR3	0.16	0.132
MZT2A	0.19	0.132
STRIP1	0.11	0.132
ANO7	0.27	0.132
SEBOX	-0.21	0.132
RPS6KA1	-0.23	0.132
CLPTM1L	-0.1	0.132
ST18	0.32	0.132
DCTN2	0.08	0.132
PLB1	0.27	0.132
HCG4	-0.47	0.132
LAMTOR2	-0.16	0.133
TM7SF2	-0.31	0.133
C21ORF62-AS1	0.23	0.133
KCND3	-0.51	0.133
ARL4C	0.28	0.133
LIPI	-0.04	0.133
NGB	-0.08	0.133
PCP4	0.55	0.133
ZBTB34	0.17	0.133
OR8A1	0.17	0.133
SLC25A17	-0.08	0.133
ENTPD3	-0.38	0.133
SREK1IP1	0.1	0.133
C3ORF22	0.06	0.133
TFR2	-0.34	0.133
CTDSPL	0.16	0.133
PQBP1	0.12	0.133
CNNM2	-0.12	0.133
MAGEA10	0.39	0.133
TKTL1	-0.39	0.133
XCL1	0.39	0.134
GPR84	0.36	0.134
C6ORF62	-0.13	0.134
DSPP	-0.06	0.134
UPK3BL1	-0.48	0.134
NAV1	-0.22	0.134
PSMG2	0.1	0.134
ERI1	0.18	0.134
CD7	0.47	0.134
CTAGE1	-0.2	0.134
PPP1R21	0.14	0.134
SLC2A1	0.37	0.134
FOXL2	-0.24	0.134
TFDP1	-0.19	0.134
ZNF778	-0.13	0.134
CNTN4	-0.34	0.134
SLC2A2	-0.5	0.134
PLAA	-0.11	0.134
ERGIC3	0.12	0.134
RPL13P5	0.23	0.134
NOX5	-0.18	0.134
PCDH18	-0.36	0.135
MDH2	0.14	0.135
SELENOT	-0.08	0.135
BIRC3	0.37	0.135
CLPTM1	-0.1	0.135
SNORA71B	0.06	0.135
EPHB6	-0.47	0.135
FRY	-0.19	0.135
ZNF595	-0.22	0.135
ALDH4A1	-0.24	0.135
GNGT2	0.23	0.135
RALGAPB	-0.1	0.135
FBXO3	-0.13	0.135
DFFA	-0.14	0.135
OR13A1	0.28	0.135
FPR2	0.37	0.135
SAT2	-0.21	0.135
LAYN	-0.23	0.135
ADSS2	0.11	0.135
PCMTD1	0.13	0.135
SRGAP3	0.23	0.135
SSR4P1	-0.21	0.135
PRKAB2	-0.2	0.135
TPK1	0.21	0.135
DNAJC25-GNG10	-0.15	0.135
P2RX3	-0.28	0.135
EXOC3-AS1	-0.21	0.135
ZNF548	0.17	0.135
HTR2A	-0.17	0.136
BTK	0.27	0.136
CEP97	-0.21	0.136
GRIN1	-0.28	0.136
DAP3	0.1	0.136
MRAP	-0.5	0.136
IRF4	0.47	0.136
TNF	0.3	0.136
PKHD1	0.57	0.136
ZBTB5	0.13	0.136
PARP1	0.11	0.136
ME1	0.41	0.136
PPP1R15A	0.22	0.136
FBXO25	0.19	0.136
AKAP6	-0.25	0.136
DAPK3	0.13	0.136
SEMA4G	0.22	0.136
CENPC	-0.14	0.136
EQTN	-0.1	0.136
PPIB	-0.15	0.136
FYB1	0.34	0.136
H1-3	-0.15	0.136
MED24	0.1	0.136
TP53RK	0.12	0.136
CDRT15	0.07	0.136
LTO1	-0.15	0.137
CT45A5	0.42	0.137
PRR18	-0.42	0.137
PARP2	-0.1	0.137
CLCN3	-0.19	0.137
XKR7	0.14	0.137
LDLR	0.2	0.137
SLC16A2	-0.33	0.137
RTKN2	0.42	0.137
ABCA9	-0.4	0.137
EMC1	-0.14	0.137
PGK2	-0.12	0.137
SDHAF4	0.13	0.137
SYNGR2	0.15	0.137
UBL4A	-0.13	0.137
PRDM16-DT	-0.39	0.137
LCP2	0.25	0.137
SCYL3	-0.11	0.137
UBE2S	0.22	0.137
LTBP4	-0.37	0.137
CNNM1	0.62	0.138
EFCAB7	0.19	0.138
FAM182B	-0.28	0.138
POLRMT	0.12	0.138
PTCH1	-0.3	0.138
STARD6	0.1	0.138
MT2A	0.44	0.138
SIK1	0.3	0.138
LINC00696	-0.05	0.138
H2BC17	-0.27	0.138
CHKB-CPT1B	-0.19	0.138
SNTA1	-0.19	0.138
PAPOLG	0.13	0.138
NRN1	-0.27	0.138
ZNF608	-0.26	0.138
RESF1	-0.18	0.138
F7	-0.4	0.138
SRRM1	-0.11	0.138
LY9	0.34	0.138
FGF3	-0.13	0.138
CPN1	0.4	0.138
THEMIS2	0.27	0.138
SNX18	-0.12	0.138
ADGRA2	-0.29	0.138
SKINT1L	-0.07	0.138
GLI2	-0.42	0.138
CALR3	0.22	0.138
AOX1	0.43	0.139
CRTAM	0.34	0.139
RFX3	0.23	0.139
PCSK9	-0.43	0.139
RAP2B	0.15	0.139
NHLH1	0.22	0.139
NDUFC1	-0.11	0.139
EMP1	-0.31	0.139
ASB6	0.1	0.139
PRDM15	-0.14	0.139
DSC3	0.44	0.139
LINC01106	0.33	0.139
FGF18	-0.24	0.14
GNA15	0.25	0.14
LRFN1	0.36	0.14
BICDL1	-0.4	0.14
BCAR3	-0.2	0.14
NAPEPLD	-0.11	0.14
RAD51AP1	0.28	0.14
EFCAB10	0.17	0.14
PSORS1C3	-0.27	0.14
FAM98B	0.15	0.14
CFAP221	-0.56	0.14
CTSK	-0.31	0.14
ZBTB20	-0.23	0.14
FAM110C	-0.4	0.14
EFNB2	-0.21	0.14
TNK2	-0.17	0.14
ABHD2	-0.2	0.14
MKNK2	-0.15	0.14
COX5B	-0.13	0.14
PTGER4P2-CDK2AP2P2	-0.19	0.14
STAC3	0.23	0.14
NEO1	-0.18	0.14
CCDC15	-0.2	0.14
PLXDC2	-0.32	0.14
GJA8	-0.05	0.141
WDR87	0.25	0.141
LLCFC1	-0.06	0.141
ATXN7L3	0.13	0.141
SRR	-0.15	0.141
CD1D	-0.31	0.141
TTC7A	-0.17	0.141
KIAA1671	-0.17	0.141
MRPS15	-0.13	0.141
HOMEZ	-0.11	0.141
PDZK1IP1	-0.82	0.141
GALNT15	-0.34	0.141
YTHDF3	0.12	0.141
OPA1	-0.1	0.141
ZNF720	-0.15	0.142
PRR34	0.22	0.142
MMRN2	-0.2	0.142
NPR3	-0.46	0.142
DNAAF10	0.08	0.142
KBTBD2	0.09	0.142
C9ORF163	-0.21	0.142
SLC6A11	0.71	0.142
SLC24A3	-0.44	0.142
EBNA1BP2	0.14	0.142
SMTNL2	0.29	0.142
EXT2	-0.07	0.142
ZFP41	0.2	0.142
DCUN1D1	-0.16	0.142
SLC4A1	-0.24	0.142
CDK8	0.24	0.142
PRKRA	0.1	0.142
CERT1	0.1	0.142
ZNF252P-AS1	0.26	0.142
ITGAX	0.25	0.142
CTAGE10P	-0.18	0.142
TNRC6B	-0.12	0.142
CLCF1	0.3	0.143
WIF1	0.45	0.143
NUBP1	-0.09	0.143
TRMO	0.08	0.143
CCN6	0.25	0.143
MICALCL	-0.27	0.143
PBX2	0.15	0.143
CPLANE1	-0.22	0.143
AHSA2P	-0.19	0.143
DTX3	-0.26	0.143
GALNT6	0.26	0.143
AHNAK	-0.19	0.143
ETFB	0.22	0.143
GET1	-0.13	0.143
C2CD4C	-0.34	0.143
CAPZA3	-0.25	0.143
MT1X	0.5	0.143
FAM225B	0.32	0.143
CDK5R2	0.23	0.143
CCDC148	0.25	0.143
CACNA2D2	-0.3	0.143
KIF18A	0.34	0.143
SEZ6L	0.33	0.144
RIPOR1	0.13	0.144
PPFIBP2	-0.16	0.144
AGPAT4-IT1	0.18	0.144
ZNF502	-0.36	0.144
ZMYND10	-0.24	0.144
RBAKDN	-0.2	0.144
MLXIPL	-0.33	0.144
SBF2	-0.16	0.144
UGT2A1	0.57	0.144
ANKK1	0.25	0.144
TTC3	-0.12	0.144
C1QL3	-0.37	0.144
CCM2	-0.12	0.144
MYBL2	0.44	0.144
PARVG	0.26	0.144
PTN	-0.43	0.144
CALCRL	-0.29	0.144
GRIP2	-0.28	0.144
FGF8	0.32	0.144
CSN1S1	0.1	0.144
GPR171	0.36	0.144
HIPK2	-0.19	0.144
OXSR1	0.11	0.144
EBF2	-0.3	0.144
IL31RA	0.25	0.145
MAGEL2	-0.25	0.145
IRF9	-0.17	0.145
LAS1L	0.11	0.145
IL10RA	0.25	0.145
OR6B2	-0.03	0.145
UBFD1	0.12	0.145
N4BP1	-0.08	0.145
RASEF	-0.57	0.145
DEFB103A	-0.06	0.145
SPATA6L	-0.26	0.145
TAS1R3	-0.28	0.145
WNT5B	-0.43	0.145
SRY	-0.05	0.145
LNX1	-0.25	0.145
